Borderpoint,country,value,lon,lat
Baumgarten,Austria,251646,47.7380714,16.5013029
Kiefersfelden,Austria,1656,47.6167,12.1833
Laa,Austria,140,48.7188061,16.3874982
Oberkappel,Austria,44934,48.5527707,13.7716319
Tarvisio,Austria,191,46.5044339,13.5799589
Uberackern II,Austria,4090,48.2928972,12.8747486
Alveringem,Belgium,5,51.0167,2.7167
Eynatten (EON/RWE),Belgium,10706,50.7,6.0667
Eynatten (Sum),Belgium,12619,50.7,6.0667
Eynatten (Wingas),Belgium,1915,50.7,6.0667
Hilvarenbeek,Belgium,66370,51.4833,5.1384062
Interconnector,Belgium,40158,37.2295179,-122.1138941
Obbicht,Belgium,768,51.0280231,5.7812383
s Gravenvoeren,Belgium,35796,50.75744,5.76031
Zandvliet (H),Belgium,6540,51.23807,5.12614
Zandvliet (L),Belgium,1084,51.23807,5.12614
Zeebrugge (LNG),Belgium,21741,51.3189468,3.2068507
Zeebrugge (ZPT),Belgium,88207,51.3189468,3.2068507
Zelzate (GTS),Belgium,8187,51.1987114,3.8119772
Negru Voda,Bulgaria,108817,43.8155851,28.2176216
Dravaszerdahely,Croatia,681,45.5,18.1
Rogatec,Croatia,6507,46.2258891,15.7000313
Brandov,Czech Republic,85160,50.62972222,13.41666667
Hora svate Kateriny,Czech Republic,9323,50.6063162,13.4367336
Lanzhot,Czech Republic,112739,48.72416667,16.9669527
Olbernhau,Czech Republic,39219,50.6588625,13.34
Waidhaus,Czech Republic,11062,49.6417301,12.4962639
Ellund,Denmark,1461,54.76666667,9.316666667
Nybro,Denmark,1833,55.816227,8.198238
Karksi,Estonia,2491,58.116204,25.5856479
Narva,Estonia,203,59.3796798,28.1791333
Varska,Estonia,1643,57.9578958,27.6330119
Imatra,Finland,25830,61.1704554,28.7720669
Biriatou,France,139,43.33333,1.74306
Blaregnies (H),France,24331,50.3578,3.8916
Dunkerque,France,104101,51.0383,2.3775
Fos sur Mer,France,45153,43.437882,4.945711
Montoir de Bretagne,France,22862,47.327052,-2.150431
Not Elsewhere Specified,France,1570,45.227573,13.590077
Obergailbach,France,53207,49.117825,7.218626
Quevy (H),France,50784,50.3632054,3.949875
Tasnieres (L),France,34395,50.3197,3.8367
Bocholtz,Germany,82339,50.8166163,5.9658
Brandov,Germany,1614,50.62972222,13.41666667
Dornum,Germany,131390,53.65,7.4167
Ellund,Germany,5863,54.76666667,9.316666667
Emden (EPT1),Germany,51822,53.3669,7.2061
Emden (NPT),Germany,14320,53.3669,7.2061
Eynatten (EON/RWE),Germany,6769,50.7,6.0667
Eynatten (Sum),Germany,17095,50.7,6.0667
Eynatten (Wingas),Germany,10328,50.7,6.0667
Haanrade (RWE),Germany,141,50.8815011,6.0758651
Hora svate Kateriny,Germany,21264,50.6063162,13.4367336
Kamminke,Germany,125,53.8701854,14.2064738
Mallnow (Frankfurt am Oder),Germany,175536,52.4615586,14.4924285
Nord Stream,Germany,100198,54.132926,13.427395
Oberkappel,Germany,1048,48.5527707,13.7716319
Olbernhau,Germany,3872,50.6588625,13.34
Oude (H-Gas),Germany,45920,53.2019,7.205
Oude (L-Gas),Germany,31737,53.3019,7.205
Tegelen (OGE),Germany,98,51.3437209,6.1373536
Uberackern,Germany,5622,48.1928972,12.8747486
Uberackern II,Germany,16197,48.2928972,12.8747486
